iter	AUC	Logloss
770	0.9314827025	0.2720752086
771	0.9314832091	0.2720742339
772	0.9314960539	0.2720499782
773	0.9314966202	0.2720497158
774	0.9315051734	0.2720337266
775	0.9315053225	0.2720336328
776	0.9315064251	0.2720329768
777	0.9315063357	0.2720325456
778	0.9315081537	0.2720301838
779	0.9315091372	0.2720281406
780	0.9315092266	0.2720279907
781	0.9315097034	0.2720268472
782	0.9315101206	0.2720262287
783	0.9315101504	0.272025835
784	0.9315101802	0.2720257788
785	0.93151021	0.2720256288
786	0.9315191209	0.2720152068
787	0.9315194488	0.2720145507
788	0.9315325916	0.2719892078
789	0.9315324128	0.2719888329
790	0.9315323234	0.271988683
791	0.9315325916	0.2719844654
792	0.9315325916	0.2719838281
793	0.9315427244	0.2719694509
794	0.9315432608	0.2719676702
795	0.9315444827	0.2719659082
796	0.9315445125	0.2719657957
797	0.9315571487	0.2719462074
798	0.9315574467	0.2719454577
799	0.9315585494	0.2719418212
800	0.9315586388	0.2719417837
801	0.9315593839	0.2719408277
802	0.9315659106	0.2719387096
803	0.9315658212	0.2719384096
804	0.9315654337	0.2719380722
805	0.931579262	0.2719152224
806	0.9315791726	0.2719152412
807	0.9315792918	0.2719151474
808	0.9315792322	0.2719150537
809	0.9315792918	0.2719149787
810	0.9315808415	0.2719084931
811	0.9315845668	0.2719009202
812	0.9315871298	0.2718977898
813	0.9315871298	0.2718976024
814	0.9315874577	0.2718974899
815	0.9315875769	0.2718972275
816	0.9315905571	0.2718928412
817	0.931594193	0.2718921102
818	0.9315947294	0.2718910417
819	0.9316054583	0.2718713035
820	0.9316214621	0.271838744
821	0.9316228628	0.2718197181
822	0.9316261709	0.2718088461
823	0.9316293001	0.2718064843
824	0.9316293895	0.2718064093
825	0.9316343963	0.2717939816
826	0.9316345751	0.2717894266
827	0.9316476882	0.2717641962
828	0.9316475391	0.2717628653
829	0.9316474199	0.2717627154
830	0.9316531718	0.2717609346
831	0.9316531718	0.2717608971
832	0.9316546023	0.271759585
833	0.9316660464	0.2717411027
834	0.9316660762	0.2717410465
835	0.9316669106	0.2717396781
836	0.9316713512	0.2717312617
837	0.9316712618	0.2717311867
838	0.9316743612	0.2717254134
839	0.9316744208	0.2717253009
840	0.9316783845	0.2717135105
841	0.931683749	0.2717046442
842	0.9316848814	0.2717026573
843	0.9316923618	0.2716897609
844	0.9316924214	0.271689536
845	0.9316928685	0.2716889924
846	0.9316927493	0.2716888424
847	0.9316941202	0.2716863494
848	0.9316959977	0.2716772207
849	0.9316993654	0.2716712786
850	0.9317004681	0.2716699103
851	0.9317080975	0.2716422993
852	0.9317092001	0.2716401999
853	0.9317094386	0.2716397313
854	0.9317103624	0.271638794
855	0.9317114949	0.2716358886
856	0.9317124784	0.2716328894
857	0.9317140579	0.2716300965
858	0.93171525	0.2716284844
859	0.93171978	0.2716200118
860	0.9317224622	0.2716139385
861	0.9317262173	0.271612139
862	0.9317406118	0.2715835158
863	0.9317405522	0.2715834596
864	0.9317499995	0.2715651835
865	0.9317563474	0.2715390159
866	0.931763947	0.2715145727
867	0.9317648709	0.2715137292
868	0.9317653775	0.2715134293
869	0.9317653775	0.2715133356
870	0.9317780733	0.2714855747
871	0.9317789078	0.2714840001
872	0.9317905009	0.2714659677
873	0.9317905009	0.271465649
874	0.9317905307	0.2714633059
875	0.9317926168	0.2714597632
876	0.9317926764	0.2714595195
877	0.9317926466	0.2714585635
878	0.9317927361	0.2714585073
879	0.9317953885	0.2714493036
880	0.9317946732	0.2714338767
